foretag_id,schema,tabell,id,text
1100,udpb4_100,EK_DIM_OBJ_KST,VG_ID,VG_TEXT
1210,rd_1210,EK_DIM_OBJ_KST,VGREN_ID,VGREN_TEXT
1500,utdata150,EK_DIM_OBJ_V,V_ID,V_TEXT
1550,,,,
1560,utdata156,EK_DIM_OBJ_V,V_ID,V_TEXT
2500,,,,
2580,,,,
2610,utdata261,EK_DIM_OBJ_KST,VGREN_ID,VGREN_TEXT
2710,,,,
2870,utdata287,EK_DIM_OBJ_VERK,VGREN_ID,VGREN_TEXT
2880,,,,
2890,utdata289,EK_DIM_OBJ_VERK,VGREN_ID,VGREN_TEXT
2900,utdata290,EK_DIM_OBJ_KST,VGREN_ID,VGREN_TEXT
2920,,,,
2930,utdata293,EK_DIM_OBJ_KST,VGREN_ID,VGREN_TEXT
2940,utdata294,EK_DIM_OBJ_VERK,VGREN_ID,VGREN_TEXT
2950,utdata295,EK_DIM_OBJ_VERK,VGREN_ID,VGREN_TEXT
2970,,,,
2985,utdata298,EK_DIM_OBJ_VERK,VGREN_ID,VGREN_TEXT
2990,,,,
3610,utdata361,EK_DIM_OBJ_KST,VGREN_ID,VGREN_TEXT
8010,utdata801,EK_DIM_OBJ_KST,VGREN_ID,VGREN_TEXT
8020,utdata802,EK_DIM_OBJ_KST,VGREN_ID,VGREN_TEXT
8050,utdata805,EK_DIM_OBJ_KST,VGREN_ID,VGREN_TEXT
8070,,,,
8090,,,,
8410,utdata840,EK_DIM_OBJ_KST,VGREN_ID,VGREN_TEXT
8510,udp_150,EK_DIM_OBJ_KST,VGREN_ID,VGREN_TEXT
8530,udp_600,EK_DIM_OBJ_KST,VER_ID,VER_TEXT
8570,udp_220,EK_DIM_OBJ_KST,SLLVGR_ID,SLLVGR_TEXT
8580,udp_858,EK_DIM_OBJ_KST,VGREN_ID,VGREN_TEXT
8590,,,,
8810,ftv_400,EK_DIM_OBJ_ENHET,VGREN_ID,VGREN_TEXT
